"","collection_id","sample_id","old_sample_id","photo_id_no","skeletal_sample","pub_author","pub_year","collection_period_from","collection_period_to","collection_date","extract_date","extract_method","collected_by","host_group","host_order","host_family","host_genus","host_species","host_id_date","host_id_by","host_id_method","host_id_changed_from_publication","host_id_changed_from","host_morphotype","corallite_size_mm","colony_sex","ocean","country","region","subregion","area","location","site","shelf_position","latitude","longitude","reef_type","avg_depth","depth_min","depth_max","sym_genus_1","sym_genus_2","sym_genus_3","sym_type_1","sym_type_2","sym_type_3","sym_type_id_year","sym_type_author","sym_type_changed_from","comment_field_coral_id","comment_symbiont_profile","comment_sample_processing"
"1","AU18","AU18_0001",NA,"Split01",NA,"Sampayo","unpublished",2018,2018,2018-09-10,NA,NA,"Dalton","hard_coral","Scleractinia","Merulinidae","Paragoniastrea","Paragoniastrea_australensis",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","cNSW","SIMP","Split_Solitary_Island","Turtle_Cove",NA,-30.24195,153.181583,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"blue-grey",NA,NA
"2","AU18","AU18_0002",NA,"Split02",NA,"Sampayo","unpublished",2018,2018,2018-09-10,NA,NA,"Dalton","hard_coral","Scleractinia","Merulinidae","Paragoniastrea","Paragoniastrea_australensis",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","cNSW","SIMP","Split_Solitary_Island","Turtle_Cove",NA,-30.24195,153.181583,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"blue-grey",NA,NA
"3","AU18","AU18_0003",NA,"Split03",NA,"Sampayo","unpublished",2018,2018,2018-09-10,NA,NA,"Dalton","hard_coral","Scleractinia","Merulinidae","Paragoniastrea","Paragoniastrea_australensis",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","cNSW","SIMP","Split_Solitary_Island","Turtle_Cove",NA,-30.24195,153.181583,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"blue-grey",NA,NA
"4","AU18","AU18_0004",NA,"Split04",NA,"Sampayo","unpublished",2018,2018,2018-09-10,NA,NA,"Dalton","hard_coral","Scleractinia","Merulinidae","Cyphastrea","Cyphastrea_serailia",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","cNSW","SIMP","Split_Solitary_Island","Turtle_Cove",NA,-30.24195,153.181583,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"brown",NA,NA
"5","AU18","AU18_0005",NA,"Split05",NA,"Sampayo","unpublished",2018,2018,2018-09-10,NA,NA,"Dalton","hard_coral","Scleractinia","Merulinidae","Cyphastrea","Cyphastrea_serailia",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","cNSW","SIMP","Split_Solitary_Island","Turtle_Cove",NA,-30.24195,153.181583,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"brown",NA,NA
"6","AU18","AU18_0006",NA,"Split06",NA,"Sampayo","unpublished",2018,2018,2018-09-10,NA,NA,"Dalton","hard_coral","Scleractinia","Merulinidae","Cyphastrea","Cyphastrea_serailia",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","cNSW","SIMP","Split_Solitary_Island","Turtle_Cove",NA,-30.24195,153.181583,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"brown",NA,NA
"7","AU18","AU18_0007",NA,"Split07",NA,"Sampayo","unpublished",2018,2018,2018-09-10,NA,NA,"Dalton","hard_coral","Scleractinia","Merulinidae","Cyphastrea","Cyphastrea_serailia",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","cNSW","SIMP","Split_Solitary_Island","Turtle_Cove",NA,-30.24195,153.181583,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"green",NA,NA
"8","AU18","AU18_0008",NA,"Split08",NA,"Sampayo","unpublished",2018,2018,2018-09-10,NA,NA,"Dalton","hard_coral","Scleractinia","Merulinidae","Cyphastrea","Cyphastrea_serailia",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","cNSW","SIMP","Split_Solitary_Island","Turtle_Cove",NA,-30.24195,153.181583,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"green",NA,NA
"9","AU18","AU18_0009",NA,"Split09",NA,"Sampayo","unpublished",2018,2018,2018-09-10,NA,NA,"Dalton","hard_coral","Scleractinia","Merulinidae","Cyphastrea","Cyphastrea_serailia",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","cNSW","SIMP","Split_Solitary_Island","Turtle_Cove",NA,-30.24195,153.181583,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"green",NA,NA
"10","AU18","AU18_0010",NA,"Split10",NA,"Sampayo","unpublished",2018,2018,2018-09-10,NA,NA,"Dalton","hard_coral","Scleractinia","Merulinidae","Cyphastrea","Cyphastrea_serailia",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","cNSW","SIMP","Split_Solitary_Island","Turtle_Cove",NA,-30.24195,153.181583,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"green",NA,NA
